Analysis by Brandon Lampe, performed on: 2016/09/01 07:39:52, * Fractional density has been decreased by,1.99742E-02,based on experimental evidence
Experimental results below begin at: 2015/08/15 15:03:02
Duration (sec),Duration (day),Elapsed Time (sec),Elapsed Time (day),Interpolated Fractional Density,Fit to Fractional Density,Fit to Volume Strain,Fit to Volume Strain Rate (1/sec),Confining Pressure (MPa),Pore Pressure (MPa),Terzaghi Pressure (MPa),Solid Pressure (MPa),Temperature (C))
1.81E+05,2.09E+00,0.00E+00,0.00E+00,8.14E-01,8.34E-01,-3.59E-04,1.95E-05,4.77E-01,0.00E+00,4.77E-01,5.72E-01,1.71E+02
1.81E+05,2.09E+00,1.02E+01,1.18E-04,8.14E-01,8.34E-01,-1.60E-04,2.92E-05,2.13E+00,0.00E+00,2.13E+00,2.55E+00,1.71E+02
1.81E+05,2.09E+00,2.04E+01,2.36E-04,8.15E-01,8.34E-01,2.36E-04,2.82E-05,2.91E+00,0.00E+00,2.91E+00,3.49E+00,1.71E+02
1.81E+05,2.09E+00,3.05E+01,3.54E-04,8.15E-01,8.34E-01,4.14E-04,6.24E-05,3.13E+00,0.00E+00,3.13E+00,3.75E+00,1.71E+02
1.81E+05,2.09E+00,4.07E+01,4.71E-04,8.16E-01,8.35E-01,1.51E-03,1.28E-04,3.96E+00,0.00E+00,3.96E+00,4.74E+00,1.71E+02
1.81E+05,2.09E+00,5.09E+01,5.89E-04,8.16E-01,8.36E-01,3.02E-03,1.74E-04,4.65E+00,0.00E+00,4.65E+00,5.56E+00,1.71E+02
1.81E+05,2.09E+00,6.11E+01,7.07E-04,8.17E-01,8.38E-01,5.05E-03,2.34E-04,5.28E+00,0.00E+00,5.28E+00,6.31E+00,1.71E+02
1.81E+05,2.09E+00,7.13E+01,8.25E-04,8.20E-01,8.40E-01,7.78E-03,3.15E-04,5.93E+00,0.00E+00,5.93E+00,7.06E+00,1.71E+02
1.81E+05,2.09E+00,8.15E+01,9.43E-04,8.23E-01,8.44E-01,1.15E-02,3.95E-04,6.63E+00,0.00E+00,6.63E+00,7.86E+00,1.72E+02
1.81E+05,2.09E+00,9.16E+01,1.06E-03,8.26E-01,8.47E-01,1.58E-02,4.34E-04,7.33E+00,0.00E+00,7.33E+00,8.66E+00,1.72E+02
1.81E+05,2.09E+00,1.02E+02,1.18E-03,8.30E-01,8.51E-01,2.03E-02,4.75E-04,7.98E+00,0.00E+00,7.98E+00,9.39E+00,1.72E+02
1.81E+05,2.09E+00,1.12E+02,1.30E-03,8.34E-01,8.56E-01,2.55E-02,5.12E-04,8.68E+00,0.00E+00,8.68E+00,1.02E+01,1.72E+02
1.81E+05,2.09E+00,1.22E+02,1.41E-03,8.40E-01,8.60E-01,3.07E-02,4.93E-04,9.36E+00,0.00E+00,9.36E+00,1.09E+01,1.72E+02
1.81E+05,2.09E+00,1.32E+02,1.53E-03,8.50E-01,8.64E-01,3.55E-02,4.69E-04,9.99E+00,0.00E+00,9.99E+00,1.15E+01,1.72E+02
1.81E+05,2.09E+00,1.43E+02,1.65E-03,8.53E-01,8.68E-01,4.03E-02,4.59E-04,1.06E+01,0.00E+00,1.06E+01,1.22E+01,1.72E+02
1.81E+05,2.09E+00,1.53E+02,1.77E-03,8.51E-01,8.72E-01,4.49E-02,4.56E-04,1.13E+01,0.00E+00,1.13E+01,1.29E+01,1.72E+02
1.81E+05,2.09E+00,1.63E+02,1.89E-03,8.58E-01,8.76E-01,4.96E-02,4.43E-04,1.20E+01,0.00E+00,1.20E+01,1.36E+01,1.72E+02
1.81E+05,2.09E+00,1.73E+02,2.00E-03,8.60E-01,8.80E-01,5.39E-02,4.01E-04,1.27E+01,0.00E+00,1.27E+01,1.44E+01,1.72E+02
1.81E+05,2.09E+00,1.83E+02,2.12E-03,8.63E-01,8.84E-01,5.77E-02,3.50E-04,1.34E+01,0.00E+00,1.34E+01,1.52E+01,1.72E+02
1.81E+05,2.09E+00,1.93E+02,2.24E-03,8.65E-01,8.86E-01,6.10E-02,3.12E-04,1.40E+01,0.00E+00,1.40E+01,1.59E+01,1.72E+02
1.81E+05,2.10E+00,2.04E+02,2.36E-03,8.67E-01,8.89E-01,6.41E-02,2.74E-04,1.47E+01,0.00E+00,1.47E+01,1.66E+01,1.72E+02
1.81E+05,2.10E+00,2.14E+02,2.48E-03,8.69E-01,8.91E-01,6.66E-02,2.30E-04,1.54E+01,0.00E+00,1.54E+01,1.73E+01,1.72E+02
1.81E+05,2.10E+00,2.24E+02,2.59E-03,8.72E-01,8.93E-01,6.88E-02,2.17E-04,1.60E+01,0.00E+00,1.60E+01,1.79E+01,1.72E+02
1.81E+05,2.10E+00,2.34E+02,2.71E-03,8.74E-01,8.95E-01,7.10E-02,1.96E-04,1.67E+01,0.00E+00,1.67E+01,1.87E+01,1.72E+02
1.81E+05,2.10E+00,2.44E+02,2.83E-03,8.76E-01,8.97E-01,7.28E-02,1.62E-04,1.74E+01,0.00E+00,1.74E+01,1.94E+01,1.72E+02
1.81E+05,2.10E+00,2.55E+02,2.95E-03,8.78E-01,8.98E-01,7.43E-02,1.41E-04,1.81E+01,0.00E+00,1.81E+01,2.01E+01,1.72E+02
1.81E+05,2.10E+00,2.65E+02,3.06E-03,8.80E-01,9.00E-01,7.56E-02,1.21E-04,1.87E+01,0.00E+00,1.87E+01,2.08E+01,1.72E+02
1.81E+05,2.10E+00,2.75E+02,3.18E-03,8.82E-01,9.01E-01,7.68E-02,9.16E-05,1.94E+01,0.00E+00,1.94E+01,2.15E+01,1.72E+02
1.81E+05,2.10E+00,2.85E+02,3.30E-03,8.84E-01,9.01E-01,7.75E-02,6.99E-05,1.99E+01,0.00E+00,1.99E+01,2.20E+01,1.72E+02
